customer_id,first_order_date
1299,2024-11-19
2651,2024-07-19
8,2024-05-06
23,2024-10-07
657,2025-02-18
1534,2023-11-03
1878,2024-05-24
426,2025-12-06
1468,2023-09-26
2510,2024-11-23
1415,2023-06-08
1592,2024-05-16
2251,2023-08-22
2469,2025-07-14
505,2024-06-28
2418,2024-03-19
494,2024-10-09
10,2025-11-16
547,2025-12-05
989,2024-11-17
1870,2025-06-18
2007,2025-04-06
2085,2024-11-14
877,2023-01-24
2066,2025-10-26
1216,2023-07-04
1472,2024-03-30
1516,2023-12-05
2743,2023-09-28
351,2025-01-14
1172,2025-04-30
2774,2024-03-30
1526,2025-08-07
1744,2023-08-12
98,2025-01-17
1329,2025-10-16
1431,2023-03-10
1045,2025-07-29
2340,2023-11-16
2399,2024-11-14
1887,2023-09-22
1335,2024-07-21
1625,2023-06-14
2702,2023-11-15
1205,2024-08-23
261,2025-05-16
2440,2024-11-21
171,2024-12-03
623,2024-01-31
1098,2025-06-08
339,2023-04-19
795,2025-01-07
915,2023-02-17
1085,2024-04-15
1590,2023-04-15
1889,2025-02-16
1268,2025-12-10
1348,2025-09-03
181,2023-02-21
2918,2024-11-16
2972,2024-02-27
1278,2023-09-02
1706,2024-05-14
721,2024-01-13
932,2023-03-06
1638,2023-10-04
1705,2024-08-22
218,2025-05-01
1855,2024-10-14
205,2025-05-11
2750,2023-07-28
894,2025-11-29
1608,2023-10-28
2713,2024-11-18
150,2025-01-15
1652,2023-08-28
728,2024-09-04
2616,2023-07-26
176,2025-02-03
400,2024-03-06
1198,2023-05-30
1745,2024-07-12
1845,2023-05-05
1287,2024-03-03
1583,2025-02-14
2277,2025-11-20
2746,2023-03-18
116,2025-08-28
986,2024-05-23
323,2025-09-19
1264,2025-03-10
2125,2024-02-13
445,2025-03-16
552,2025-05-12
603,2025-04-19
1869,2024-11-11
1986,2025-05-28
2287,2023-04-07
2465,2023-08-01
2620,2025-06-29
2871,2024-01-31
588,2025-07-14
983,2024-01-12
1147,2024-02-08
1259,2024-04-13
1784,2025-02-21
1966,2023-07-28
2869,2025-02-01
973,2025-06-07
1701,2024-08-15
1996,2024-07-10
2528,2024-03-29
2545,2024-09-17
1258,2023-10-26
1580,2025-09-04
1654,2024-11-28
1722,2025-02-09
870,2023-11-12
1506,2023-11-25
2079,2024-02-20
2818,2025-03-31
254,2025-01-21
295,2025-02-14
677,2023-12-03
1436,2025-04-11
1486,2023-01-12
1552,2025-07-14
1939,2025-04-29
2481,2025-01-14
2605,2025-10-31
34,2024-11-22
134,2024-09-08
635,2024-12-07
709,2024-03-10
1490,2023-09-25
910,2023-10-20
