cohort_month,month_number,active_customers
2023-01-01,0,13
2023-01-01,1,7
2023-01-01,2,5
2023-01-01,3,4
2023-01-01,4,2
2023-01-01,5,4
2023-01-01,6,2
2023-01-01,7,1
2023-01-01,8,2
2023-01-01,9,2
2023-01-01,10,2
2023-01-01,12,2
2023-01-01,14,3
2023-01-01,15,1
2023-01-01,18,1
2023-01-01,19,1
2023-01-01,20,1
2023-01-01,25,1
2023-01-01,26,1
2023-01-01,31,1
2023-01-01,32,1
2023-02-01,0,21
2023-02-01,1,3
2023-02-01,2,4
2023-02-01,3,2
2023-02-01,4,5
2023-02-01,5,1
2023-02-01,7,3
2023-02-01,8,1
2023-02-01,9,1
2023-02-01,11,2
2023-02-01,13,2
2023-03-01,0,57
2023-03-01,1,22
2023-03-01,2,15
2023-03-01,3,9
2023-03-01,4,8
2023-03-01,5,13
2023-03-01,6,8
2023-03-01,7,9
2023-03-01,8,5
2023-03-01,9,6
2023-03-01,10,2
2023-03-01,11,2
2023-03-01,12,1
2023-03-01,13,1
2023-03-01,15,1
2023-03-01,17,1
2023-03-01,18,1
2023-03-01,19,1
2023-03-01,21,1
2023-03-01,24,1
2023-04-01,0,57
2023-04-01,1,28
2023-04-01,2,28
2023-04-01,3,11
2023-04-01,4,14
2023-04-01,5,12
2023-04-01,6,10
2023-04-01,7,8
2023-04-01,8,7
2023-04-01,9,8
2023-04-01,10,4
2023-04-01,11,3
2023-04-01,12,6
2023-04-01,13,1
2023-04-01,14,2
2023-04-01,15,2
2023-04-01,16,2
2023-04-01,17,2
2023-04-01,18,2
2023-04-01,19,2
2023-04-01,20,3
2023-04-01,21,3
2023-04-01,22,3
2023-04-01,23,2
2023-04-01,24,2
2023-04-01,25,1
2023-04-01,26,2
2023-04-01,27,3
2023-04-01,28,1
2023-04-01,32,1
2023-05-01,0,46
2023-05-01,1,18
2023-05-01,2,16
2023-05-01,3,11
2023-05-01,4,13
2023-05-01,5,11
2023-05-01,6,7
2023-05-01,7,8
2023-05-01,8,6
2023-05-01,9,3
2023-05-01,10,4
2023-05-01,11,5
2023-05-01,12,3
2023-05-01,14,2
2023-05-01,15,1
2023-05-01,18,1
2023-05-01,21,1
2023-05-01,22,1
2023-05-01,23,2
2023-05-01,24,1
2023-06-01,0,45
2023-06-01,1,15
2023-06-01,2,10
2023-06-01,3,10
2023-06-01,4,6
2023-06-01,5,8
2023-06-01,6,7
2023-06-01,7,2
2023-06-01,8,4
2023-06-01,9,1
2023-06-01,10,3
2023-06-01,11,1
2023-06-01,13,1
2023-06-01,14,2
2023-06-01,20,1
2023-06-01,24,1
2023-07-01,0,50
2023-07-01,1,18
2023-07-01,2,19
2023-07-01,3,11
2023-07-01,4,11
2023-07-01,5,12
2023-07-01,6,12
2023-07-01,7,7
2023-07-01,8,8
2023-07-01,9,9
2023-07-01,10,1
2023-07-01,11,2
2023-07-01,12,2
2023-07-01,13,5
2023-07-01,14,3
2023-07-01,15,3
2023-07-01,16,3
2023-07-01,17,4
2023-07-01,18,1
2023-07-01,19,3
2023-07-01,20,2
2023-07-01,21,3
2023-07-01,22,1
2023-07-01,23,1
2023-07-01,24,2
2023-07-01,25,1
2023-07-01,26,2
2023-07-01,28,1
2023-07-01,29,1
2023-08-01,0,54
2023-08-01,1,20
2023-08-01,2,19
2023-08-01,3,11
2023-08-01,4,14
2023-08-01,5,16
2023-08-01,6,10
2023-08-01,7,6
2023-08-01,8,5
2023-08-01,9,1
2023-08-01,10,6
2023-08-01,11,5
2023-08-01,12,4
2023-08-01,13,2
2023-08-01,14,3
2023-08-01,15,1
2023-08-01,16,3
2023-08-01,17,1
2023-08-01,18,1
2023-08-01,21,1
2023-08-01,22,1
2023-08-01,23,1
2023-08-01,24,1
2023-09-01,0,52
2023-09-01,1,14
2023-09-01,2,15
2023-09-01,3,8
2023-09-01,4,14
2023-09-01,5,6
2023-09-01,6,9
2023-09-01,7,9
2023-09-01,8,3
2023-09-01,9,5
2023-09-01,10,4
2023-09-01,11,4
2023-09-01,12,2
2023-09-01,13,3
2023-09-01,14,4
2023-09-01,15,3
2023-09-01,16,2
2023-09-01,17,4
2023-09-01,18,2
2023-09-01,19,3
2023-09-01,20,1
2023-09-01,21,2
2023-09-01,22,2
2023-09-01,23,2
2023-09-01,24,1
2023-09-01,25,1
2023-09-01,26,3
2023-09-01,27,1
2023-10-01,0,50
2023-10-01,1,18
2023-10-01,2,14
2023-10-01,3,10
2023-10-01,4,9
2023-10-01,5,9
2023-10-01,6,7
2023-10-01,7,3
2023-10-01,8,3
2023-10-01,9,7
2023-10-01,10,2
2023-10-01,11,3
2023-10-01,12,3
2023-10-01,13,3
2023-10-01,14,1
2023-10-01,15,1
2023-10-01,16,2
2023-10-01,17,3
2023-10-01,18,3
2023-10-01,19,2
2023-10-01,20,1
2023-10-01,21,1
2023-10-01,22,1
2023-10-01,23,1
2023-10-01,24,1
2023-10-01,25,2
2023-10-01,26,1
2023-11-01,0,55
2023-11-01,1,23
2023-11-01,2,13
2023-11-01,3,16
2023-11-01,4,15
2023-11-01,5,12
2023-11-01,6,5
2023-11-01,7,9
2023-11-01,8,8
2023-11-01,9,7
2023-11-01,10,4
2023-11-01,11,5
2023-11-01,12,7
2023-11-01,13,6
2023-11-01,14,2
2023-11-01,15,5
2023-11-01,16,5
2023-11-01,17,3
2023-11-01,18,2
2023-11-01,19,2
2023-11-01,20,3
2023-11-01,21,3
2023-11-01,22,3
2023-11-01,23,1
2023-12-01,0,53
2023-12-01,1,19
2023-12-01,2,16
2023-12-01,3,16
2023-12-01,4,11
2023-12-01,5,7
2023-12-01,6,7
2023-12-01,7,9
2023-12-01,8,8
2023-12-01,9,9
2023-12-01,10,6
2023-12-01,11,5
2023-12-01,12,5
2023-12-01,13,4
2023-12-01,14,3
2023-12-01,15,4
2023-12-01,16,5
2023-12-01,17,3
2023-12-01,18,3
2023-12-01,19,3
2023-12-01,20,1
2023-12-01,21,2
2023-12-01,22,1
2023-12-01,23,2
2023-12-01,24,1
2024-01-01,0,61
2024-01-01,1,24
2024-01-01,2,10
2024-01-01,3,14
2024-01-01,4,15
2024-01-01,5,14
2024-01-01,6,10
2024-01-01,7,11
2024-01-01,8,8
2024-01-01,9,7
2024-01-01,10,5
2024-01-01,11,4
2024-01-01,12,7
2024-01-01,13,3
2024-01-01,14,5
2024-01-01,15,3
2024-01-01,16,3
2024-01-01,17,3
2024-01-01,18,2
2024-01-01,19,2
2024-01-01,20,2
2024-01-01,21,2
2024-01-01,22,2
2024-01-01,23,2
2024-02-01,0,55
2024-02-01,1,23
2024-02-01,2,15
2024-02-01,3,8
2024-02-01,4,14
2024-02-01,5,11
2024-02-01,6,12
2024-02-01,7,4
2024-02-01,8,6
2024-02-01,9,5
2024-02-01,10,4
2024-02-01,11,5
2024-02-01,12,5
2024-02-01,13,5
2024-02-01,14,4
2024-02-01,15,4
2024-02-01,16,4
2024-02-01,17,1
2024-02-01,18,2
