customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,segment
1187,126,22,8118.0400000000018,4,5,5,Champions
2287,161,22,7905.3700000000008,4,5,5,Champions
2981,90,21,7786.4399999999978,4,5,5,Champions
1751,118,22,6971.93,4,5,5,Champions
1915,38,17,6761.2000000000007,5,5,5,Champions
2648,111,21,6742.6400000000012,4,5,5,Champions
2618,251,17,6697.32,4,5,5,Champions
1750,259,19,6616.42,4,5,5,Champions
1047,290,16,6420.04,3,5,5,At Risk
816,70,22,6207.2600000000011,5,5,5,Champions
310,389,18,6191.3799999999992,3,5,5,At Risk
2092,121,14,6139.5400000000009,4,5,5,Champions
1691,45,19,5997.4999999999991,5,5,5,Champions
2549,37,22,5955.27,5,5,5,Champions
243,305,16,5888.51,3,5,5,At Risk
919,179,20,5836.53,4,5,5,Champions
2752,29,21,5754.1400000000021,5,5,5,Champions
2273,56,17,5655.58,5,5,5,Champions
1083,234,13,5635.8199999999988,4,5,5,Champions
2909,12,22,5606.0199999999995,5,5,5,Champions
762,89,18,5604.3099999999995,4,5,5,Champions
633,0,19,5549.73,5,5,5,Champions
102,511,15,5542.2299999999987,2,5,5,At Risk
1050,11,21,5391.47,5,5,5,Champions
123,74,11,5385.52,5,5,5,Champions
2806,121,18,5381.8300000000008,4,5,5,Champions
1541,250,21,5347.3199999999988,4,5,5,Champions
2689,519,13,5337.87,2,5,5,At Risk
1055,185,16,5310.73,4,5,5,Champions
747,4,18,5236.38,5,5,5,Champions
1584,107,20,5202.5300000000007,4,5,5,Champions
2729,39,12,5185.65,5,5,5,Champions
2510,4,19,5159.0900000000011,5,5,5,Champions
574,5,17,5147.47,5,5,5,Champions
714,261,21,5121.9900000000007,4,5,5,Champions
927,17,8,5100.52,5,5,5,Champions
1334,44,11,5097.1799999999994,5,5,5,Champions
2456,64,18,5086.3600000000006,5,5,5,Champions
1296,124,13,5038.4800000000005,4,5,5,Champions
2190,29,13,5019.0099999999993,5,5,5,Champions
382,223,20,4966.57,4,5,5,Champions
1951,847,9,4941.11,1,5,5,Needs Attention
887,183,17,4938.4500000000007,4,5,5,Champions
1927,499,17,4911.59,2,5,5,At Risk
327,4,16,4714.16,5,5,5,Champions
2373,14,11,4669.2300000000005,5,5,5,Champions
2242,364,14,4595.39,3,5,5,At Risk
335,435,14,4588.83,3,5,5,At Risk
2463,450,15,4583.4000000000005,3,5,5,At Risk
1216,155,17,4564.78,4,5,5,Champions
1826,0,10,4561.4000000000005,5,5,5,Champions
1304,201,8,4556.2200000000012,4,5,5,Champions
2620,2,11,4479.89,5,5,5,Champions
1457,266,11,4395.4900000000007,4,5,5,Champions
2559,31,12,4301.6100000000006,5,5,5,Champions
1369,419,12,4272.3200000000006,3,5,5,At Risk
551,2,14,4242.2300000000005,5,5,5,Champions
2638,11,13,4233.3,5,5,5,Champions
2790,530,15,4223.2400000000007,2,5,5,At Risk
1316,69,13,4218.36,5,5,5,Champions
2212,43,19,4201.57,5,5,5,Champions
1240,7,18,4198.85,5,5,5,Champions
2056,366,15,4193.64,3,5,5,At Risk
212,264,14,4188.4400000000005,4,5,5,Champions
760,20,20,4156.6900000000005,5,5,5,Champions
870,402,11,4135.02,3,5,5,At Risk
2063,393,7,4121.95,3,5,5,At Risk
2123,169,8,4103.09,4,5,5,Champions
1974,11,17,4058.0499999999997,5,5,5,Champions
718,27,18,4055.7900000000004,5,5,5,Champions
1322,8,12,4034.3300000000004,5,5,5,Champions
2324,825,7,4022.06,1,5,5,Needs Attention
128,772,12,4018.5600000000004,1,5,5,Needs Attention
2785,193,18,3985.3,4,5,5,Champions
2813,746,8,3945.5999999999995,1,5,5,Needs Attention
2811,194,14,3893.9399999999996,4,5,5,Champions
2184,638,14,3876.48,2,5,5,At Risk
2701,83,15,3862.7199999999993,5,5,5,Champions
2894,249,7,3861.6800000000003,4,5,5,Champions
881,12,11,3858.2199999999993,5,5,5,Champions
1726,58,19,3855.5299999999997,5,5,5,Champions
2018,112,12,3847.97,4,5,5,Champions
105,84,13,3845.37,5,5,5,Champions
1502,41,12,3837.2200000000007,5,5,5,Champions
18,167,13,3812.0200000000013,4,5,5,Champions
715,51,8,3783.1899999999996,5,5,5,Champions
1684,76,9,3772.21,5,5,5,Champions
2142,177,13,3756.0099999999993,4,5,5,Champions
1442,9,11,3755.4300000000003,5,5,5,Champions
2581,496,16,3726.8200000000006,3,5,5,At Risk
2534,5,15,3722.9300000000003,5,5,5,Champions
1420,403,11,3717.9100000000008,3,5,5,At Risk
1011,496,8,3700.7,3,5,5,At Risk
1310,334,6,3695.26,3,4,5,At Risk
1785,55,12,3692.2,5,5,5,Champions
2812,527,10,3658.27,2,5,5,At Risk
273,382,10,3653.23,3,5,5,At Risk
1288,3,9,3631.35,5,5,5,Champions
1430,776,8,3627.4600000000005,1,5,5,Needs Attention
134,9,13,3622.3199999999993,5,5,5,Champions
585,614,8,3560.29,2,5,5,At Risk
1591,735,10,3552.58,1,5,5,Needs Attention
922,384,14,3545.59,3,5,5,At Risk
2578,5,10,3516.7700000000004,5,5,5,Champions
334,502,7,3505.8900000000003,2,5,5,At Risk
1103,242,7,3500.11,4,5,5,Champions
2887,365,8,3496.6600000000003,3,5,5,At Risk
1024,173,14,3488.5600000000004,4,5,5,Champions
1543,75,10,3478.9100000000008,5,5,5,Champions
2425,62,9,3475.4000000000005,5,5,5,Champions
1558,679,11,3469.1800000000003,2,5,5,At Risk
2183,627,9,3455.9999999999995,2,5,5,At Risk
68,71,13,3453.6899999999996,5,5,5,Champions
2558,312,8,3449.9199999999996,3,5,5,At Risk
940,246,13,3400.4000000000005,4,5,5,Champions
1335,157,12,3387.4,4,5,5,Champions
965,614,7,3368.43,2,5,5,At Risk
1468,537,8,3363.68,2,5,5,At Risk
313,329,13,3362.3599999999997,3,5,5,At Risk
2628,1,9,3352.49,5,5,5,Champions
26,619,10,3347.67,2,5,5,At Risk
1504,488,6,3293.5299999999997,3,5,5,At Risk
765,654,8,3289.5200000000004,2,5,5,At Risk
928,674,7,3282.47,2,5,5,At Risk
623,78,11,3279.7499999999995,5,5,5,Champions
2292,402,4,3264.7000000000003,3,4,5,At Risk
1359,732,13,3226.0699999999997,2,5,5,At Risk
254,21,10,3207.5800000000004,5,5,5,Champions
250,317,9,3183.6499999999996,3,5,5,At Risk
2682,23,8,3169.76,5,5,5,Champions
1244,376,13,3162.6200000000003,3,5,5,At Risk
2636,32,9,3142.11,5,5,5,Champions
1763,714,6,3141.1499999999996,2,5,5,At Risk
2541,107,6,3140.63,4,4,5,Champions
521,745,4,3136.06,1,4,5,Needs Attention
571,257,9,3128.3400000000006,4,5,5,Champions
444,17,10,3127.9700000000003,5,5,5,Champions
538,709,9,3081.77,2,5,5,At Risk
199,390,6,3078.83,3,4,5,At Risk
1982,817,8,3072.9800000000005,1,5,5,Needs Attention
1008,15,8,3072.7200000000003,5,5,5,Champions
2452,37,8,3040.42,5,5,5,Champions
2087,91,9,3034.1,4,5,5,Champions
1973,622,8,3030.5600000000004,2,5,5,At Risk
2665,15,9,3025.54,5,5,5,Champions
684,49,12,3020.39,5,5,5,Champions
1735,38,7,3017.97,5,5,5,Champions
2491,197,5,3017.92,4,4,5,Champions
840,260,9,3015.3099999999995,4,5,5,Champions
1534,142,14,3013.8699999999994,4,5,5,Champions
961,279,14,3005.63,3,5,5,At Risk
496,56,10,3005.3999999999996,5,5,5,Champions
2907,657,11,2988.87,2,5,5,At Risk
157,720,7,2984.9,2,5,5,At Risk
1090,1,14,2984.33,5,5,5,Champions
2949,28,6,2981.58,5,4,5,Champions
1732,373,6,2964.5499999999997,3,4,5,At Risk
672,94,10,2956.9999999999995,4,5,5,Champions
191,809,9,2954.24,1,5,5,Needs Attention
1926,428,9,2947.23,3,5,5,At Risk
930,568,9,2945.61,2,5,5,At Risk
1479,481,7,2941.21,3,5,5,At Risk
89,253,8,2940.7299999999996,4,5,5,Champions
1339,309,10,2939.2200000000003,3,5,5,At Risk
2104,179,10,2933.6299999999997,4,5,5,Champions
1817,217,7,2916.85,4,5,5,Champions
1028,206,12,2912.41,4,5,5,Champions
620,130,10,2900.8100000000004,4,5,5,Champions
1089,34,9,2882.62,5,5,5,Champions
1994,18,6,2881.73,5,5,5,Champions
2661,345,3,2878.14,3,3,5,At Risk
1082,77,11,2872.15,5,5,5,Champions
2409,269,5,2869.56,4,4,5,Champions
519,723,8,2868.67,2,5,5,At Risk
2442,724,7,2866.63,2,5,5,At Risk
503,157,10,2842.33,4,5,5,Champions
1261,11,11,2838.08,5,5,5,Champions
804,7,11,2835.86,5,5,5,Champions
483,265,8,2820.0800000000004,4,5,5,Champions
2831,347,7,2813.48,3,5,5,At Risk
2414,692,7,2799.12,2,5,5,At Risk
1372,552,7,2798.6400000000003,2,5,5,At Risk
54,505,7,2781.2499999999995,2,5,5,At Risk
1588,651,8,2775.3100000000004,2,5,5,At Risk
87,6,8,2775.22,5,5,5,Champions
358,16,15,2761.3999999999996,5,5,5,Champions
2348,57,8,2759.7000000000003,5,5,5,Champions
384,534,6,2753.17,2,4,5,At Risk
1317,670,4,2745.52,2,4,5,At Risk
2966,190,4,2735.65,4,4,5,Champions
2402,8,10,2711.4900000000002,5,5,5,Champions
1299,144,8,2691.3399999999992,4,5,5,Champions
2151,110,5,2685.89,4,4,5,Champions
1505,516,8,2685.08,2,5,5,At Risk
2304,142,11,2672.7200000000003,4,5,5,Champions
166,188,9,2655.75,4,5,5,Champions
2962,165,8,2649.74,4,5,5,Champions
295,103,10,2643.2699999999995,4,5,5,Champions
1889,89,8,2639.3899999999994,4,5,5,Champions
2451,586,11,2625.58,2,5,5,At Risk
767,16,4,2624.63,5,4,5,Champions
2947,691,7,2622.75,2,5,5,At Risk
126,111,5,2618.62,4,4,5,Champions
674,43,7,2613.2999999999997,5,5,5,Champions
