month,revenue,prev_month_revenue,mom_growth_pct
2023-01-01,6068.8900000000012,,
2023-02-01,10627.65,6068.8900000000012,75.1
2023-03-01,22324.600000000002,10627.65,110.1
2023-04-01,30482.709999999988,22324.600000000002,36.5
2023-05-01,35300.749999999985,30482.709999999988,15.8
2023-06-01,40145.04,35300.749999999985,13.7
2023-07-01,41056.659999999989,40145.04,2.3
2023-08-01,49471.430000000022,41056.659999999989,20.5
2023-09-01,53965.22,49471.430000000022,9.1
2023-10-01,49348.959999999985,53965.22,-8.6
2023-11-01,76091.510000000009,49348.959999999985,54.2
2023-12-01,74834.720000000016,76091.510000000009,-1.7
2024-01-01,67533.209999999992,74834.720000000016,-9.8
2024-02-01,59504.67,67533.209999999992,-11.9
2024-03-01,66159.18,59504.67,11.2
2024-04-01,67101.850000000035,66159.18,1.4
2024-05-01,46693.73000000001,67101.850000000035,-30.4
2024-06-01,55639.239999999983,46693.73000000001,19.2
2024-07-01,68124.86,55639.239999999983,22.4
2024-08-01,69409.250000000044,68124.86,1.9
2024-09-01,66142.06,69409.250000000044,-4.7
2024-10-01,69898.739999999962,66142.06,5.7
2024-11-01,82178.760000000009,69898.739999999962,17.6
2024-12-01,93969.93,82178.760000000009,14.3
2025-01-01,67204.870000000039,93969.93,-28.5
2025-02-01,61785.220000000023,67204.870000000039,-8.1
2025-03-01,81492.319999999963,61785.220000000023,31.9
2025-04-01,71696.61000000003,81492.319999999963,-12
2025-05-01,71061.109999999986,71696.61000000003,-0.9
2025-06-01,70965.37999999999,71061.109999999986,-0.1
2025-07-01,76464.60000000002,70965.37999999999,7.7
2025-08-01,72803.500000000015,76464.60000000002,-4.8
2025-09-01,62076.690000000061,72803.500000000015,-14.7
2025-10-01,72838.379999999961,62076.690000000061,17.3
2025-11-01,75953.890000000029,72838.379999999961,4.3
2025-12-01,94693.889999999956,75953.890000000029,24.7
